"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"34875",8,"site10",2011,35,152,0,56.23,1
"35116",6,"site10",2010,34,149,0,56.23,1
"35286",9,"site10",2008,32,152,0,56.23,1
"35644",8,"site10",2012,36,146,0,56.23,1
"36228",7,"site10",2006,30,160,0,56.23,1
"36251",2,"site10",2002,68,157,0,56.23,1
"36389",9,"site10",2009,33,141,0,56.23,1
"37030",1,"site11",2004,39,157,1,56.01,1
"37525",5,"site11",2005,40,140,0,56.01,1
"37645",8,"site11",2010,25,151,1,56.01,1
"37929",6,"site11",2009,44,157,0,56.01,1
"38052",7,"site11",2006,41,147,0,56.01,1
"38126",21,"site11",2012,44,153,1,56.01,1
"38129",24,"site11",2001,33,154,1,56.01,1
"38558",4,"site11",2002,34,155,0,56.01,1
"38655",9,"site11",2007,42,156,0,56.01,1
"39372",10,"site11",2008,43,140,1,56.01,1
"39679",6,"site11",2011,50,150,1,56.01,1
"40287",2,"site12",2003,67,135,0,56.02,1
"40325",10,"site12",2001,65,157,0,56.02,0.984722222222222
"40461",4,"site12",2004,68,141,0,56.02,1
"40898",9,"site12",2010,47,147,0,56.02,1
"41556",1,"site12",2005,69,138,0,56.02,0.925
"41617",8,"site12",2000,64,161,0,56.02,0.984722222222222
"41871",12,"site12",2007,47,145,1,56.02,1
"42464",22,"site12",2009,46,151,0,56.02,1
"42586",15,"site12",2002,50,159,1,56.02,0.984722222222222
"42611",14,"site12",1999,63,160,1,56.02,0.984722222222222
"42682",5,"site12",2006,70,142,0,56.02,0.9375
"43154",11,"site12",2012,49,151,0,56.02,1
"43292",25,"site12",2008,45,149,1,56.02,1
"43538",19,"site13",2003,47,150,0,56.24,1
"43601",11,"site13",2002,46,152,0,56.24,0.953571428571429
"44597",21,"site13",2007,17,156,1,56.24,0.775
"45021",10,"site13",2012,36,147,0,56.24,1
"45110",12,"site13",2009,19,145,0,56.24,0.9
"45140",13,"site13",1998,42,149,0,56.24,0.953571428571429
"45261",14,"site13",2008,47,141,1,56.24,1
"45312",8,"site13",2010,34,148,1,56.24,1
"46265",15,"site13",2001,45,154,0,56.24,0.953571428571429
"46612",6,"site13",2011,35,153,0,56.24,1
"46663",15,"site13",1999,43,149,0,56.24,0.953571428571429
"46905",13,"site13",2000,44,154,0,56.24,0.953571428571429
"47062",2,"site14",2011,43,145,0,56.24,0.75
"47798",5,"site14",2008,40,148,0,56.24,0.75
"48208",11,"site14",2012,44,148,0,56.24,0.740277777777778
"48215",4,"site14",2006,30,166,1,56.24,0.7125
"48564",2,"site14",2003,67,136,1,56.24,0.7625
"48681",15,"site14",2007,39,154,1,56.24,0.7625
"48708",2,"site14",2004,50,153,1,56.24,0.7
"49280",1,"site14",2010,42,152,0,56.24,0.75
"49358",4,"site14",2005,51,156,0,56.24,0.725
"49517",8,"site14",2009,41,140,0,56.24,0.75
"49960",4,"site15",2001,48,150,1,56.02,0.854166666666667
"50431",0,"site15",2002,50,152,1,56.02,0.854166666666667
"50466",3,"site15",2012,33,143,1,56.02,0.725
"50728",1,"site15",2010,25,153,1,56.02,0.7375
"50852",0,"site15",2006,36,160,1,56.02,0.925
"50959",2,"site15",2007,37,153,0,56.02,0.9625
"51176",1,"site15",2011,43,142,1,56.02,0.75
"51211",1,"site15",2008,38,156,0,56.02,0.9375
"52156",2,"site15",2004,50,154,1,56.02,0.9
"52392",0,"site15",2005,51,152,0,56.02,0.9375
"52644",2,"site15",2009,41,150,1,56.02,0.8125
"53093",0,"site16",2012,41,152,0,56.03,0.175
"53605",0,"site16",2007,36,161,0,56.03,0.175
"54087",0,"site16",2005,69,139,0,56.03,0.175
"54213",0,"site16",2004,68,142,0,56.03,0.175
"54355",0,"site16",2011,40,158,0,56.03,0.175
"54518",0,"site16",2009,38,159,0,56.03,0.175
"54889",0,"site16",2003,67,134,0,56.03,0.175
"54915",0,"site16",2002,66,145,0,56.03,0.175
