"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"34203",4,"site10",2001,67,156,1,56.23,1
"34242",7,"site10",2012,36,146,0,56.23,1
"34600",3,"site10",2005,29,159,1,56.23,1
"34732",1,"site10",2002,68,157,0,56.23,1
"36287",3,"site10",2004,70,153,0,56.23,1
"36352",5,"site10",2010,34,149,0,56.23,1
"36392",3,"site10",2008,32,152,0,56.23,1
"36439",12,"site10",2006,30,160,0,56.23,1
"37004",0,"site11",2007,42,156,0,56.01,1
"37331",3,"site11",2002,34,155,0,56.01,1
"37635",0,"site11",2009,44,157,0,56.01,1
"38362",1,"site11",2012,44,153,1,56.01,1
"38405",1,"site11",2010,25,151,1,56.01,1
"38735",0,"site11",2006,41,147,0,56.01,1
"38815",0,"site11",2008,43,140,1,56.01,1
"38946",1,"site11",2004,39,157,1,56.01,1
"39041",0,"site11",2011,50,150,1,56.01,1
"39042",2,"site11",2005,40,140,0,56.01,1
"39112",3,"site11",2001,33,154,1,56.01,1
"39792",1,"site12",2008,45,149,1,56.02,1
"39817",0,"site12",1999,63,160,1,56.02,0.984722222222222
"39967",4,"site12",2010,47,147,0,56.02,1
"40344",8,"site12",2003,67,135,0,56.02,1
"40985",1,"site12",2001,65,157,0,56.02,0.984722222222222
"41048",1,"site12",2006,70,142,0,56.02,0.9375
"41597",0,"site12",2002,50,159,1,56.02,0.984722222222222
"41926",0,"site12",2004,68,141,0,56.02,1
"42171",1,"site12",2012,49,151,0,56.02,1
"42175",1,"site12",2007,47,145,1,56.02,1
"42266",1,"site12",2009,46,151,0,56.02,1
"43040",1,"site12",2005,69,138,0,56.02,0.925
"43335",1,"site12",2000,64,161,0,56.02,0.984722222222222
"43412",0,"site13",2010,34,148,1,56.24,1
"44032",1,"site13",2012,36,147,0,56.24,1
"44140",0,"site13",1999,43,149,0,56.24,0.953571428571429
"44170",1,"site13",2002,46,152,0,56.24,0.953571428571429
"44490",2,"site13",2003,47,150,0,56.24,1
"44527",2,"site13",2011,35,153,0,56.24,1
"44982",0,"site13",2001,45,154,0,56.24,0.953571428571429
"45031",1,"site13",2008,47,141,1,56.24,1
"45434",0,"site13",1998,42,149,0,56.24,0.953571428571429
"45624",0,"site13",2007,17,156,1,56.24,0.775
"46616",0,"site13",2009,19,145,0,56.24,0.9
"46964",0,"site13",2000,44,154,0,56.24,0.953571428571429
"47549",0,"site14",2012,44,148,0,56.24,0.740277777777778
"47750",0,"site14",2003,67,136,1,56.24,0.7625
"47961",1,"site14",2009,41,140,0,56.24,0.75
"48111",0,"site14",2004,50,153,1,56.24,0.7
"48254",0,"site14",2006,30,166,1,56.24,0.7125
"48376",1,"site14",2011,43,145,0,56.24,0.75
"48895",2,"site14",2007,39,154,1,56.24,0.7625
"48931",3,"site14",2008,40,148,0,56.24,0.75
"49110",0,"site14",2010,42,152,0,56.24,0.75
"49369",1,"site14",2005,51,156,0,56.24,0.725
"49829",5,"site15",2012,33,143,1,56.02,0.725
"49898",11,"site15",2006,36,160,1,56.02,0.925
"49945",6,"site15",2008,38,156,0,56.02,0.9375
"51137",3,"site15",2009,41,150,1,56.02,0.8125
"51522",1,"site15",2007,37,153,0,56.02,0.9625
"51873",0,"site15",2001,48,150,1,56.02,0.854166666666667
